SponsorID|SponsorTypes|SponsorName
GM0005589|G|NATL CTR FOR PRESERVATION TECH & TRAININ
GM0005590|U|PEKING UNION MEDICAL COLLEGE
GM0005591|L|FL HOSPITAL OFFICE OF RES ADMINISTRATION
GM0005592|A|COMMUNITY HLTH CENTERS ALLIANCE
GM0005593|R|PUBLIC HEALTH LAW CENTER
GM0005594|L|CITY OF HOPE
GM0005595|C|INTEGRATED MICRO SENSORS
GM0005596|C|ONDAVIA
GM0005597|C|CALLIDUS BIOPHARMA
GM0005598|A|AMERICAN ASTRONOMICAL SOCIETY
GM0005599|C|MD PRIMER
GM0005600|U|MEHARRY MEDICAL COLLEGE
GM0005601|RF|INTL RETINAL RES FOU
GM0005602|RI|KOWA RESEARCH INSTITUTE
GM0005603|F|KESSLER FOUNDATION
GM0005604|C|EVA PHARMACEUTICALS
GM0005605|L|RADY CHILDREN'S HOSP - SAN DIEGO
GM0005606|C|AECOM
GM0005607|IR|INST NAC INV  TECN AGRARIA Y ALIMENTARIA
GM0005608|F|CARDIOVASCULAR CLINICAL SCIENCE FOU CORP
GM0005609|A|AMER PHYSICAL THERAPY ASSOC
GM0005610|A|INSECTICIDE RESISTANCE ACTION COMMITTEE
GM0005611|C|NVERPIX
GM0005612|C|STRUCTURED MONITORING PRODUCTS
GM0005613|C|ALLEGRO MICROSYSTEMS
GM0005614|F|HHV-6 FOUNDATION
GM0005615|F|CHILDREN'S DIGESTIVE HLTH & NUTR FOU
GM0005616|U|BRANDEIS UNIVERSITY
GM0005617|A|OPEN SPACES SACRED PLACES
GM0005618|G|ARMED FORCES HLTH SURVEILLANCE CNTR
GM0005619|C|FUNCTIONAL NEUROMODULATION
GM0005620|C|STRAKAN PHARMACEUTICALS
GM0005621|C|CUBRC
GM0005622|C|MATORTHO
GM0005623|G|TAYLOR COUNTY
GM0005624|C|PHILIPS HEALTHCARE
GM0005625|C|OCEANYX PHARMACEUTICALS
GM0005626|R|BROOKS REHABILITATION CLINICAL RES CNTR
GM0005627|C|ENSYSTEX INC
GM0005628|C|PHILIPS ANESTHESIA CARE A/S
GM0005629|C|LUNA INNOVATIONS INC
GM0005630|C|CEVA SANTE ANIMALE S.A.
GM0005631|C|VERSO PAPER CORPORATION
GM0005632|C|INTL FLAVORS & FRAGRANCES
GM0005633|A|NATL ACADEMIC ADVISING ASSO
GM0005634|C|HANSON PROFESSIONAL SERVICES
GM0005635|C|DOHENY EYE INSTITUTE
GM0005636|G|PEOPLE'S REPUBLIC OF CHINA
GM0005637|G|MINISTRY OF SCIENCE & TECHNOLOGY
GM0005638|C|TRGEL
GM0005639|C|UBS AG
GM0005640|C|ABBVIE
GM0005641|G|UNITED NATIONS FOUNDATION
GM0005642|F|UNIV OF SOUTH FLORIDA FOU
GM0005643|C|DYAX
GM0005644|C|J.R. SIMPLOT CO
GM0005645|C|VERIFONE
GM0005646|U|ASAHIKAWA MEDICAL UNIVERSITY
GM0005647|C|ENCOMPASS
GM0005648|C|OPTIMER PHARMACEUTICALS
GM0005649|C|DEVEREUX FLORIDA
GM0005650|A|PARKINSON ACTION NETWORK
GM0005651|F|ALTERNATIVES RESEARCH & DELOPMENT FOU
GM0005652|C|SUN BIOPHARMA
GM0005653|C|INEOS BIO
GM0005654|G|KING ABDULAZIZ CITY FOR SCIENCE & TECH
GM0005655|U|ARKANSAS STATE UNIVERSITY
GM0005656|A|DENTAL QUALITY ALLIANCE
GM0005657|C|CERSYS
GM0005658|C|CROWLEY MARITIME
GM0005659|C|COALITION AGAINST TYPHOID
GM0005660|C|PEST NATURAL
GM0005661|C|FRESENIUS BIOTECH NORTH AMERICA
GM0005662|C|EVERRIS NA
GM0005663|C|POLYPLUS BATTERY COMPANY
GM0005664|C|ISE PROF TESTING & CONSULTING SERVICES
GM0005665|G|UNION CNTY
GM0005666|G|UNION CNTY BOARD OF CNTY COMMISSIONERS
GM0005667|U|CLARKSON UNIVERSITY
GM0005668|F|CURE PSP FOU
GM0005669|C|COUNTERPART INTERNATIONAL
GM0005670|R|NATL RES FUND FOR TICK-BORNE DISEASES
GM0005671|R|ROTHAMSTED RESEARCH
GM0005672|G|NEIGHBORHOOD HOUSING SERVICES OF SO FL
GM0005673|RI|SOUTHERN RESEARCH INSTITUTE
GM0005674|C|STATE FARM INSURANCE COMPANIES
GM0005675|C|FIREFLY HEALTH INNOVATIONS NE
GM0005676|F|CHILDREN WITH DIABETES FOUNDATION
GM0005677|R|INSTITUT ROSELL
GM0005678|C|BIOFIRE DIAGNOSTICS INC
GM0005679|G|VA PALO ALTO HEALTH CARE SYSTEM
GM0005680|F|PAMPHALON FOUNDATION
GM0005681|A|VOICES AGAINST BRAIN CANCER
GM0005682|C|ACTAMAX SURGICAL MATERIALS LLC
GM0005683|C|SEATTLE GENETICS INC
GM0005684|C|ECOWISEREPELLENT
GM0005685|C|SAREPTA THERAPEUTICS
GM0005686|F|FOUNDATION FOR CHILD DEVELOPMENT
GM0005687|C|ON-X LIFE TECHNOLOGIES
GM0005688|U|STELLENBOSCH UNIVERSITY
GM0005689|R|S AFRICAN CTR FOR EPID MOD AND ANALYSIS
GM0005690|C|ATW AUTOMATION
GM0005691|C|VEGALAB
GM0005692|C|CYTORI THERAPEUTICS
GM0005693|A|BOYS AND GIRLS CLUBS OF AMERICA
GM0005694|C|ENZA ZADEN USA INC
GM0005695|G|ORANGE COUNTY ENVIRONMENT PROTECTION DIV
GM0005696|L|TAMPA GENERAL HOSPITAL
GM0005697|C|AEGERION PHARMACEUTICALS
GM0005698|C|NATL TAY-SACHS & ALLIED DISEASES ASSO
GM0005699|C|XOMA
GM0005700|U|NEW YORK INSTITUTE OF TECHNOLOGY
GM0005701|U|UNIVERSITY OF TULSA
GM0005702|C|QUIDEL
GM0005703|C|AGC REG SANEAMENTO E ENERG EST SAO PAULO
GM0005704|C|QINETIQ NORTH AMERICA
GM0005705|U|KOREA ELECTRONICS TECHNOLOGY INSTITUTE
GM0005706|F|CYSTINOSIS RESEARCH FOU
GM0005707|A|N AMER ASSO FOR ENVIRONMENTAL EDUCATION
GM0005708|R|CENTER FOR RESEARCH LIBRARIES
GM0005709|F|WINGS FOR LIFE SPINAL CORD RES FOU
GM0005710|A|LYME DISEASE ASSOCIATION
GM0005711|R|LABORATOIRE NATIONAL DE SANTE PUBLIQUE
GM0005712|C|BP BIOFUELS NORTH AMERICA
GM0005713|C|VITABAR
GM0005714|C|SMA BEHAVIORAL HEALTH SERVICES
GM0005715|RI|NATL TRAUMA INSTITUTE
GM0005716|C|CUMMINS
GM0005717|C|LUCRAVALDE
GM0005718|RA|HEMOSTASIS & TROMBOSIS RES SOC
GM0005719|A|AUTISM SERVICES GRANTS COUNCIL
GM0005720|F|FL ATLANTIC UNIV FOU
GM0005721|C|SYSTEMS TECHNOLOGY
GM0005722|F|SAN JOSE STATE UNIV RESEARCH FOU
GM0005723|C|JANSSEN RESEARCH & DEVELOPMENT
GM0005724|C|DEHLSEN ASSOCIATES
GM0005725|C|AQUAGEN ENGINEERING SERVICES
GM0005726|U|UNIVERSITY OF READING
GM0005727|C|AREVA FEDERAL SERVICES
GM0005728|C|FEDERAL ALLIANCE FOR SAFE HOMES
GM0005729|C|W MARTIN SMITH INTERDISCIPLINARY PATIENT
GM0005730|F|NAPLES CHILDREN & EDUCATION FOU
GM0005731|C|LIFETECH CO, LTD
GM0005732|C|AMENDIA
GM0005733|C|DILON TECHNOLOGIES
GM0005734|C|SENTIX
GM0005735|C|ILLINOISROCSTAR
GM0005736|C|NVE CORPORATION
GM0005737|C|SANFORD RESEARCH
GM0005738|C|HYUNDAI HEAVY INDUSTRIES CO
GM0005739|C|AGILTRON
GM0005740|C|INNOVARE CARE
GM0005741|C|CREATIVE BIOTECH
GM0005742|C|TECH-X CORPORATION
GM0005743|C|ONEVAX
GM0005744|C|EVOLUTIONARY GENOMICS
GM0005745|C|GEORGETOWN RAIL EQUIPMENT COMPANY
GM0005746|G|STATE OF CALIFORNIA  DEPT OF FISH & GAME
GM0005747|F|COLLIE HEALTH FOU
GM0005748|C|ASSAY DEPOT
GM0005749|A|GAY & LSEBIAN MEDICAL ASSOC
GM0005750|C|BIOMERIEUX
GM0005751|G|REP OF KOREA AGCY FOR DEFENSE DEVELOPMEN
GM0005752|C|AUDENTES THERAPEUTICS
GM0005753|F|KREMBIL FOU
GM0005754|C|MANUKAMED
GM0005755|C|ASTEX
GM0005756|C|ASTEX PHARMACEUTICALS
GM0005757|C|NOVABONE PRODUCTS
GM0005758|C|TRU VITALS
GM0005759|GRI|KOREA POLAR RESEARCH INST
GM0005760|A|FL ALCOHOL & DRUG ABUSE ASSO
GM0005761|I|INTL WATER MANAGEMENT INST
GM0005762|C|BRONCUS MEDICAL
GM0005763|C|KALOBIOS PHARMACEUTICALS
GM0005764|C|LLOYD'S REGISTER EDUCATIONAL TRUST
GM0005765|A|FLORIDA PHILANTHROPIC NETWORK
GM0005766|C|DANISCO (UK) LIMITED
GM0005767|G|TEXAS AGRILIFE EXTENSION
GM0005768|C|OGILVY PUBLIC RELATIONS WORLDWIDE
GM0005769|C|FIBERTEK
GM0005770|U|TECHNION-ISRAEL INST OF TECHNOLOGY
GM0005771|C|GATEWAY COMMUNITY SERVICES
GM0005772|C|EPICENTRE
GM0005773|C|FABRICO TECHNOLOGY
GM0005774|C|INTELOMED
GM0005775|F|THE GENEVA FOUNDATION
GM0005776|C|SIRIUS MINERALS
GM0005777|F|NATL PANCREAS FOU
GM0005778|R|CENTER FOR SEVERE WEATHER RES
GM0005779|R|CENTER FOR HAITIAN STUDIES
GM0005780|R|VIRTUAL FERTILIZER RES CENTER
GM0005781|C|LG LIFE SCIENCES
GM0005782|C|DSC MATERIALS
GM0005783|C|CELATOR PHARMACEUTICALS
GM0005784|A|AMER SOC FOR REPRODUCTIVE MEDICINE
GM0005785|F|THE ZANVYL AND ISABELLE KRIEGER FUND 
GM0005786|C|CYCLACEL LIMITED
GM0005787|U|UNIV OF DENVER
GM0005788|F|KLARMAN FAMILY FDTN GRANTS PROGRAM
GM0005789|C|QUENTIN GARRETT QUINLIVAN
GM0005790|F|EDWARD MALLINCKRODT JR FDTN
GM0005791|F|RHEUMATOLOGY RESEARCH FOU
GM0005792|C|GLYGENIX THERAPEUTICS INC
GM0005793|C|LILLY ENDOWMENT INC
GM0005794|C|MOLINA HEALTHCARE
GM0005795|F|PETCO FOUNDATION
GM0005796|C|PUGET SOUND BLOOD CENTER
GM0005797|C|BETROKOR
GM0005798|R|LA JOLLA INST FOR ALLERGY & IMMUNOLOGY
GM0005799|C|G&S CORP OF HIAHEAH
GM0005800|F|CHACE FOUNDATION
GM0005801|F|MOSQUITO RESEARCH FOU
GM0005802|C|ELANCO
GM0005803|C|EARTHRISE SPACE
GM0005804|C|UNIVERSITY OF LISBON FACULTY OF PHARMACY
GM0005805|C|NATL EMERGENCY MEDICINE ASSO
GM0005806|C|NBF LANES
GM0005807|C|LEIBNIZ CTR FOR AGRIC LANDSCAPE RES
GM0005808|C|CTR FOR  ADVANCEMENT OF SCIENCE IN SPACE
GM0005809|C|PARSONS BRINCKERHOFF
GM0005810|C|WESTERN INSTITUTIONAL REVIEW BOARD
GM0005811|C|PURDUE INNOVATION & COMMERCIALIZATION CTR
GM0005812|C|SOC FOR INTEGRAT & COMPARATIVE BIO
GM0005813|C|EAWAG
GM0005814|C|CSL BEHRING GMBH
GM0005815|C|LANDENBERGER RES FOU|C| MARGARET Q.
GM0005816|C|POLICY RESEARCH
GM0005817|C|RADIATION COUNTERMEASURES CTR OF RES EXC
GM0005818|C|INTEGRATION INNOVATION
GM0005819|C|ZOETIS
GM0005820|C|ZERO TO THREE
GM0005821|C|NSRI - NATL SECURITY RES INSTITUTE
GM0005822|C|RENOVA LIFE
GM0005823|C|UNIVERSIDAD DE CALDAS
GM0005824|C|CALIFORNIA DEPT OF FOOD & AGRICULTURE
GM0005825|C|OPHTALMIC COMPAGNIE
GM0005826|C|ALPHA FOU IMPROV OF MINE SAFETY & HLTH
GM0005827|C|LIVERMORE INSTRUMENTS
GM0005828|C|VIACORD
GM0005829|C|ROOF CONSULTANTS INSTITUTE FOUNDATION
GM0005830|C|DEXTRONIX
GM0005831|C|CYNORA GMBH
GM0005832|C|AMERICAN ANTHROPOLOGICAL ASSO
GM0005833|C|SAN FRANCISCO ESTUARY INSTITUTE
GM0005834|C|COLLOIDAL DYNAMICS
GM0005835|C|AMER ASSO OF CLINICAL ENDOCRINOLOGISTS
GM0005836|C|PNEUMRX
GM0005837|C|SOUTHEASTERN CONFERENCE
GM0005838|C|PARKINSON'S UK
GM0005839|C|DEPT PUB HLTH MATERNAL & CHILD HLTH SERV
GM0005840|C|CENTER FOR PRODUCE SAFETY
GM0005841|C|GEORGIA REGENTS UNIVERSITY
GM0005842|C|CAE HEALTHCARE USA
GM0005843|C|AKRON CHILDREN'S HOSPITAL
GM0005844|C|SIMUGRID TECHNOLOGY
GM0005845|C|ZEEKO KK
GM0005846|C|MAL'AK RESEARCH
GM0005847|C|IPSEN BIOPHARMACEUTICALS
GM0005848|C|DALIAN UNIV OF TECHNOLOGY
GM0005849|C|PHOENIX CONTACT DEVELOPMENT & MANUFACTUR
